,seqfish,sf3a66,10kb speckle
0,0610010F05Rik,0.521667121,2.7416041341377717
1,1500009L16Rik,0.34789034700000004,15.200743067620632
2,1600014C10Rik,0.409830076,6.246580991824608
3,1700016C15Rik,0.552481921,5.818492192632354
4,1700024G13Rik,0.422112793,9.035401628536132
5,1700025G04Rik,0.551786004,6.933081889325068
6,2610001J05Rik,0.757653762,4.020320953900742
7,3110009F21Rik,0.307178719,16.316960081577797
8,4930430F08Rik,0.582293611,3.9019274994398687
9,4930448F12Rik,0.7687303870000001,3.830524952986728
10,4930517E11Rik,0.5960118870000001,2.833071446070724
11,4932435O22Rik,0.348245201,7.427913113482801
12,4932438A13Rik,0.574447557,4.071451681999508
13,7420700N18Rik,0.6638949710000001,3.9064854138848983
14,9130008F23Rik,0.496490658,3.0702091101117652
15,AU019990,0.46204979,6.1458945308269115
16,AU041133,0.257152022,8.317356792557225
17,AW554918,0.7869985009999999,4.303910942492873
18,AW822252,0.553292695,2.4931318805913336
19,AY358078,0.462576706,3.2422995257826597
20,Aadat,0.5880105529999999,2.1998010413288727
21,Aard,0.585676631,4.529450718427014
22,Aass,0.756605082,4.278101984037066
23,Abca9,0.517039328,2.908044885255041
24,Abcb1a,0.6437514520000001,3.155058707485404
25,Abcg3,0.554208661,3.3626624300576946
26,Abr,0.313706666,16.75029017725568
27,Abtb2,0.465192472,5.991713678633876
28,Acsbg1,0.468355487,12.77695781501917
29,Acsl4,0.500321344,1.8560908715175424
30,Acss1,0.490066722,5.060960723442044
31,Actb,0.24121245800000002,20.212551758059547
32,Actn1,0.539147406,14.106640879705564
33,Actr3,0.644765393,5.7836537731471065
34,Adam10,0.474797736,12.139967195587587
35,Adam3,0.562848985,12.183269535862971
36,Adamts12,0.586718188,4.496995769750872
37,Adamts15,0.5344858929999999,6.16498734890563
38,Adamts16,0.6815862540000001,5.367342095525235
39,Adamts5,0.726586031,4.129675659527265
40,Adamts6,0.689858715,2.6858714589686263
41,Adamtsl1,0.607714579,3.8730894931167965
42,Adamtsl3,0.47952069799999997,10.976930786263981
43,Adcy8,0.611487451,2.589491487055324
44,Adgrl4,0.665636859,5.115210389884317
45,Adhfe1,0.7101087070000001,5.62064295738292
46,Aff2,0.7354083570000001,1.6576642871347405
47,Agk,0.637616846,7.890680310371299
48,Agr3,0.822320316,4.197619930685144
49,Agt,0.288663992,24.75510907460086
50,Ahctf1,0.39320138600000004,9.077952541699334
51,Aig1,0.689655583,5.70881474974685
52,Ak4,0.527957302,5.919063003319038
53,Akap11,0.600024816,8.612671979928761
54,Akr1c12,0.7571884459999999,2.401170753158052
55,Alcam,0.6821782540000001,6.033297113354303
56,Aldh1l1,0.476751269,19.078830238556648
57,Aldoc,0.161344414,12.733296113153985
